post id, post url, title, category, tags,  reply id, userid, reply
124590,https://community.cartalk.com/t/2002-toyota-sequoia-persistent-p0440-441-446-codes/124590,2002 Toyota Sequoia persistent P0440/441/446 codes,Maintenance/Repairs,||sequoia||toyota||,1,MaekPeters,My Sequoia keep showing codes PO440-441-446. I have changed the EVAP Canister along with both of the solenoid valves on the wheel well and the valve cover . But i am still showing all the same codes. Now i am also getting a gurgling sound from the gas cap.2
124590,https://community.cartalk.com/t/2002-toyota-sequoia-persistent-p0440-441-446-codes/124590,2002 Toyota Sequoia persistent P0440/441/446 codes,Maintenance/Repairs,||sequoia||toyota||,2,Cavell,446 is evap solenoid circuit so that means there is an electrical issue. usually you fix the 446 and than get the 440 which is an evap leak which means an actual vacuum leak now. been told the 446 could be a bad solenoid or wiring issue or pcm perhaps
124590,https://community.cartalk.com/t/2002-toyota-sequoia-persistent-p0440-441-446-codes/124590,2002 Toyota Sequoia persistent P0440/441/446 codes,Maintenance/Repairs,||sequoia||toyota||,3,Nevada_545,The vehicle has an evaporative emission system leak  it shouldn’t take long for a technician to find the leak.
124483,https://community.cartalk.com/t/2015-audi-a3-jerks-almost-stops/124483,2015 Audi A3 jerks  almost stops,Maintenance/Repairs,||a3||audi||,1,Danny03,2015 Audi A3 drives between 20-40 MPH jerks  almost stops then throws into gear. Audi has software upgraded still issues. Anyone else have some issue? Resolution???2
124483,https://community.cartalk.com/t/2015-audi-a3-jerks-almost-stops/124483,2015 Audi A3 jerks  almost stops,Maintenance/Repairs,||a3||audi||,2,COROLLAGUY1,Take it to the dealer because your car might still be under the 4 year 50.000 miles warranty.
124483,https://community.cartalk.com/t/2015-audi-a3-jerks-almost-stops/124483,2015 Audi A3 jerks  almost stops,Maintenance/Repairs,||a3||audi||,3,George_San_Jose1,Low speed jerking can be caused by partially plugged fuel injectors. Worth considering if nothing else crops up  but the problem with the fuel injector theory is the symptom for that usually first appears during slow speed driving  5-10 mph  accelerating from slow speed turns  etc. CG above is correct of course to let the dealership handle this problem if the warranty remains in effect.
124583,https://community.cartalk.com/t/2000-jeep-cherokee-toyo-tires/124583,2000 Jeep Cherokee - Toyo tires,Maintenance/Repairs,||jeep||cherokee||,1,ChetBudd,I’m liking the Toyo Open Country AT II tire for my Jeep before winter gets here. I baby this vehicle  so no off-roading for me  but want a jeep-looking tire that is ‘quiet’  too. And  BSW tires only! Anybody have experience with this tire? Other recommendations?7
124583,https://community.cartalk.com/t/2000-jeep-cherokee-toyo-tires/124583,2000 Jeep Cherokee - Toyo tires,Maintenance/Repairs,||jeep||cherokee||,2,VOLVO_V70,You have a 18 year old Jeep and you are concerned about tire noise . This is a joke isn’t it ?
124583,https://community.cartalk.com/t/2000-jeep-cherokee-toyo-tires/124583,2000 Jeep Cherokee - Toyo tires,Maintenance/Repairs,||jeep||cherokee||,3,oldtimer_11,Driving an 18 year old Jeep and wanting All Terrain tires so it LOOKS like you take it off road is a joke.
124583,https://community.cartalk.com/t/2000-jeep-cherokee-toyo-tires/124583,2000 Jeep Cherokee - Toyo tires,Maintenance/Repairs,||jeep||cherokee||,4,cdaquila,It’s not our place to judge. Does anyone have anything related to the question they’d like to offer?
124583,https://community.cartalk.com/t/2000-jeep-cherokee-toyo-tires/124583,2000 Jeep Cherokee - Toyo tires,Maintenance/Repairs,||jeep||cherokee||,5,shanonia,Check at tirerack.com and see if they have test results and ratings for that tire. They have a useful tire selection guide that steps you through the process. Also Consumer Reports. Every November issue has tire test and survey results  and they are reprinted in various of their publications and may also be available on line if you subscribe.
124583,https://community.cartalk.com/t/2000-jeep-cherokee-toyo-tires/124583,2000 Jeep Cherokee - Toyo tires,Maintenance/Repairs,||jeep||cherokee||,6,db4690,Get BF Goodrich off-road tiresThat’s what our Park Rangers use  and they only have 4x4 trucksBut most/all true off-road tires will not be quietIt’s the nature of the beastIf you want your Jeep to look rough and tough  you’ll have to accept some drawbacks  as well
124583,https://community.cartalk.com/t/2000-jeep-cherokee-toyo-tires/124583,2000 Jeep Cherokee - Toyo tires,Maintenance/Repairs,||jeep||cherokee||,7,ChetBudd,Thank you! Will do. I appreciate your helping out.
124583,https://community.cartalk.com/t/2000-jeep-cherokee-toyo-tires/124583,2000 Jeep Cherokee - Toyo tires,Maintenance/Repairs,||jeep||cherokee||,8,ChetBudd,I had bf Goodrich advantage t/a sport LT on my list to go out and touch-and-feel… I’ll drill down further to see the off road line. Thanks!!
123466,https://community.cartalk.com/t/2006-volkswagen-jetta-beep-beep/123466,2006 Volkswagen Jetta - Beep Beep,Maintenance/Repairs,||volkswagen||,1,feelingorangey,There is a fainting beeping coming from the back passenger side. Starts slow then speeds up  only once or twice the first drive of the day.
